source airport,destination airport,airplane type,total Cost,break even cost per ticket, loss per flight
Hartsfield-Jackson Atlanta International Airport,Miami International Airport,Airbus A220-300,9590.610182766628,199.80437880763807,-6793.348879459695
Hartsfield-Jackson Atlanta International Airport,Charlotte Douglas International Airport,Boeing 737-600,6547.373208601026,183.39980976473464,-4346.57549142421
Hartsfield-Jackson Atlanta International Airport,Charlotte Douglas International Airport,Boeing 767-800,7184.216510751283,126.70575856704204,-5663.747407946778
Hartsfield-Jackson Atlanta International Airport,Charlotte Douglas International Airport,Airbus A200-100,6457.991692509762,159.45658500024103,-4544.512672506869
Hartsfield-Jackson Atlanta International Airport,Charlotte Douglas International Airport,Airbus A220-300,6122.811007167522,127.55856264932338,-4592.108255375641
Hartsfield-Jackson Atlanta International Airport,Seattle-Tacoma International Airport,Boeing 737-600,28510.499820578854,798.6134403523489,-13336.844453884225
Hartsfield-Jackson Atlanta International Airport,Seattle-Tacoma International Airport,Boeing 767-800,34638.12477572357,610.9016715295162,-23030.99301666276
Hartsfield-Jackson Atlanta International Airport,Seattle-Tacoma International Airport,Airbus A200-100,27650.482283014688,682.727957605301,-14678.651088513969
Hartsfield-Jackson Atlanta International Airport,Seattle-Tacoma International Airport,Airbus A220-300,24425.416517149046,508.86284410727177,-14757.022479110883
Hartsfield-Jackson Atlanta International Airport,Phoenix Sky Harbor International Airport,Boeing 737-600,21824.295374999405,611.3248004201515,-8375.149765756072
Hartsfield-Jackson Atlanta International Airport,Phoenix Sky Harbor International Airport,Boeing 767-800,26280.36921874926,463.4985752865831,-16083.40056244443
Hartsfield-Jackson Atlanta International Airport,Phoenix Sky Harbor International Airport,Airbus A200-100,21198.881502192413,523.4291728936398,-9683.439698532336
Hartsfield-Jackson Atlanta International Airport,Phoenix Sky Harbor International Airport,Airbus A220-300,18853.579479166172,392.7829058159619,-10212.35555121501
Hartsfield-Jackson Atlanta International Airport,Newark Liberty International Airport,Boeing 737-600,12387.130048845387,346.9784327407672,-1630.7986338816045
Hartsfield-Jackson Atlanta International Airport,Newark Liberty International Airport,Boeing 767-800,14483.912561056735,255.44819331669729,-6565.018568239119
Hartsfield-Jackson Atlanta International Airport,Newark Liberty International Airport,Airbus A200-100,12092.844783973622,298.5887600981141,-2836.5932209320854
Hartsfield-Jackson Atlanta International Airport,Newark Liberty International Airport,Airbus A220-300,10989.27504070449,228.94323001467686,-3892.0349102495074
Hartsfield-Jackson Atlanta International Airport,San Francisco International Airport,Boeing 737-600,28022.204442728205,784.9356986758602,-2119.3263864248183
Hartsfield-Jackson Atlanta International Airport,San Francisco International Airport,Boeing 767-800,34027.75555341026,600.1367822470945,-14223.24173925614
Hartsfield-Jackson Atlanta International Airport,San Francisco International Airport,Airbus A200-100,27179.320076316693,671.0943228720171,-5033.20742154013
Hartsfield-Jackson Atlanta International Airport,San Francisco International Airport,Airbus A220-300,24018.503702273505,500.3854937973647,-7505.7824069604685
Hartsfield-Jackson Atlanta International Airport,George Bush Intercontinental Airport,Boeing 737-600,11741.917189833903,328.9052434127144,-888.0441572143263
Hartsfield-Jackson Atlanta International Airport,George Bush Intercontinental Airport,Boeing 767-800,13677.39648729238,241.22392393813723,-5717.006997333852
Hartsfield-Jackson Atlanta International Airport,George Bush Intercontinental Airport,Airbus A200-100,11470.270972646751,283.2165672258457,-2124.1242541938427
Hartsfield-Jackson Atlanta International Airport,George Bush Intercontinental Airport,Airbus A220-300,10451.59765819492,217.74161787906084,-3266.124268185912
Hartsfield-Jackson Atlanta International Airport,Logan International Airport,Boeing 737-600,14639.937296002545,410.08227719895086,-5208.044920426675
Hartsfield-Jackson Atlanta International Airport,Logan International Airport,Boeing 767-800,17299.92162000318,305.1132560847122,-10282.316730054801
Hartsfield-Jackson Atlanta International Airport,Logan International Airport,Airbus A200-100,14266.606162809474,352.2618805631969,-6164.582909855946
Hartsfield-Jackson Atlanta International Airport,Logan International Airport,Airbus A220-300,12866.614413335454,268.05446694448864,-6701.361673612215
Hartsfield-Jackson Atlanta International Airport,Fort Lauderdale-Hollywood International Airport,Boeing 737-600,10548.293844185471,295.47041580351464,-6411.708022936266
Hartsfield-Jackson Atlanta International Airport,Fort Lauderdale-Hollywood International Airport,Boeing 767-800,12185.367305231839,214.9094762827485,-9176.63463727336
Hartsfield-Jackson Atlanta International Airport,Fort Lauderdale-Hollywood International Airport,Airbus A200-100,10318.529147898262,254.77849747896943,-6751.63018319269
Hartsfield-Jackson Atlanta International Airport,Fort Lauderdale-Hollywood International Airport,Airbus A220-300,9456.911536821226,197.0189903504422,-6698.645671915036
Hartsfield-Jackson Atlanta International Airport,Minneapolis-Saint Paul International Airport,Boeing 737-600,14207.360011160594,397.9652664190643,-7441.950482036501
Hartsfield-Jackson Atlanta International Airport,Minneapolis-Saint Paul International Airport,Boeing 767-800,16759.200013950744,295.57671982276446,-11734.395776963749
Hartsfield-Jackson Atlanta International Airport,Minneapolis-Saint Paul International Airport,Airbus A200-100,13849.207028312854,341.95572909414454,-8035.959633712397
Hartsfield-Jackson Atlanta International Airport,Minneapolis-Saint Paul International Airport,Airbus A220-300,12506.133342633828,260.54444463820477,-8076.877783784347
Hartsfield-Jackson Atlanta International Airport,LaGuardia Airport,Boeing 737-600,12565.914776814245,351.98640831412456,-1654.3361190763826
Hartsfield-Jackson Atlanta International Airport,LaGuardia Airport,Boeing 767-800,14707.393471017807,259.38965557350633,-6666.314148239111
Hartsfield-Jackson Atlanta International Airport,LaGuardia Airport,Airbus A200-100,12265.356363592693,302.84830527389363,-2877.0589001019907
Hartsfield-Jackson Atlanta International Airport,LaGuardia Airport,Airbus A220-300,11138.26231401187,232.04713154191396,-3944.8012362125373
Hartsfield-Jackson Atlanta International Airport,Detroit Metropolitan Airport,Boeing 737-600,10702.094345419131,299.7785530929729,-4706.523283559673
Hartsfield-Jackson Atlanta International Airport,Detroit Metropolitan Airport,Boeing 767-800,12377.617931773913,218.3001398901925,-8011.615133970064
Hartsfield-Jackson Atlanta International Airport,Detroit Metropolitan Airport,Airbus A200-100,10466.933140316705,258.4427935880668,-5298.077268555369
Hartsfield-Jackson Atlanta International Airport,Detroit Metropolitan Airport,Airbus A220-300,9585.078621182609,199.68913794130435,-5591.295862356522
Hartsfield-Jackson Atlanta International Airport,Philadelphia International Airport,Boeing 737-600,11494.155828111183,321.9651492468119,-2157.166499953637
Hartsfield-Jackson Atlanta International Airport,Philadelphia International Airport,Boeing 767-800,13367.694785138981,235.7618127890473,-6530.60221425661
Hartsfield-Jackson Atlanta International Airport,Philadelphia International Airport,Airbus A200-100,11231.20299203711,277.3136541243731,-3189.1070224302894
Hartsfield-Jackson Atlanta International Airport,Philadelphia International Airport,Airbus A220-300,10245.12985675932,213.4402053491525,-4055.3639016338975
Hartsfield-Jackson Atlanta International Airport,Salt Lake City International Airport,Boeing 737-600,21861.594173428126,612.3695846898636,-18187.376665288946
Hartsfield-Jackson Atlanta International Airport,Salt Lake City International Airport,Boeing 767-800,26326.992716785164,464.32085920256026,-23541.067561569802
Hartsfield-Jackson Atlanta International Airport,Salt Lake City International Airport,Airbus A200-100,21234.871570851705,524.3178165642396,-18088.964671466267
Hartsfield-Jackson Atlanta International Airport,Salt Lake City International Airport,Airbus A220-300,18884.66181119011,393.430454399794,-16524.07908479135
Hartsfield-Jackson Atlanta International Airport,Ronald Reagan Washington National Airport,Boeing 737-600,10153.987926195008,284.42543210630276,-7309.733605131981
Hartsfield-Jackson Atlanta International Airport,Ronald Reagan Washington National Airport,Boeing 767-800,11692.484907743761,206.21666503957252,-9630.318257348035
Hartsfield-Jackson Atlanta International Airport,Ronald Reagan Washington National Airport,Airbus A200-100,9938.058525275886,245.38416111792313,-7484.216914096655
Hartsfield-Jackson Atlanta International Airport,Ronald Reagan Washington National Airport,Airbus A220-300,9128.323271829175,190.17340149644113,-7226.589256864763
Hartsfield-Jackson Atlanta International Airport,San Diego International Airport,Boeing 737-600,25248.843658824302,707.250522656143,-14640.085818982157
Hartsfield-Jackson Atlanta International Airport,San Diego International Airport,Boeing 767-800,30561.054573530382,538.9956714908357,-22476.119501167846
Hartsfield-Jackson Atlanta International Airport,San Diego International Airport,Airbus A200-100,24503.27019711117,605.0190172126215,-15427.984938921849
Hartsfield-Jackson Atlanta International Airport,San Diego International Airport,Airbus A220-300,21707.36971568692,452.2368690768108,-14923.816679534757
Hartsfield-Jackson Atlanta International Airport,Baltimore/Washington International Airport,Boeing 737-600,10488.371414376312,293.7919163690844,-7550.452250685468
Hartsfield-Jackson Atlanta International Airport,Baltimore/Washington International Airport,Boeing 767-800,12110.46426797039,213.58843506120618,-9974.57991735833
Hartsfield-Jackson Atlanta International Airport,Baltimore/Washington International Airport,Airbus A200-100,10260.709259485917,253.35084591323252,-7727.200800353592
Hartsfield-Jackson Atlanta International Airport,Baltimore/Washington International Airport,Airbus A220-300,9406.976178646928,195.97867038847767,-7447.189474762152
Hartsfield-Jackson Atlanta International Airport,Tampa International Airport,Boeing 737-600,8579.55034996764,240.32353921477986,-4974.697261745941
Hartsfield-Jackson Atlanta International Airport,Tampa International Airport,Boeing 767-800,9724.43793745955,171.50684193050355,-7151.835308501997
Hartsfield-Jackson Atlanta International Airport,Tampa International Airport,Airbus A200-100,8418.864372775794,207.87319438952576,-5300.766456932907
Hartsfield-Jackson Atlanta International Airport,Tampa International Airport,Airbus A220-300,7816.291958306367,162.83941579804932,-5373.700721335626
Hartsfield-Jackson Atlanta International Airport,Austin-Bergstrom International Airport,Boeing 737-600,13129.995765351863,367.7869962283435,-9084.338806840085
Hartsfield-Jackson Atlanta International Airport,Austin-Bergstrom International Airport,Boeing 767-800,15412.494706689831,271.82530346895646,-12422.41636853131
Hartsfield-Jackson Atlanta International Airport,Austin-Bergstrom International Airport,Airbus A200-100,12809.645036743028,316.2875317714328,-9330.482187257268
Hartsfield-Jackson Atlanta International Airport,Austin-Bergstrom International Airport,Airbus A220-300,11608.329804459887,241.840204259581,-8948.087557604496
Hartsfield-Jackson Atlanta International Airport,Washington Dulles International Airport,Boeing 737-600,10011.038326032836,280.4212416255697,-7206.82590977714
Hartsfield-Jackson Atlanta International Airport,Washington Dulles International Airport,Boeing 767-800,11513.797907541048,203.06521882788445,-9483.145719262204
Hartsfield-Jackson Atlanta International Airport,Washington Dulles International Airport,Airbus A200-100,9800.124700558,241.97838766809878,-7380.3408238770135
Hartsfield-Jackson Atlanta International Airport,Washington Dulles International Airport,Airbus A220-300,9009.198605027364,187.69163760473677,-7132.282228979997
Hartsfield-Jackson Atlanta International Airport,Nashville International Airport,Boeing 737-600,6408.5109644628255,179.51011104937888,-4613.409853969037
Hartsfield-Jackson Atlanta International Airport,Nashville International Airport,Boeing 767-800,7010.638705578533,123.64442161514168,-5774.1944894271155
Hartsfield-Jackson Atlanta International Airport,Nashville International Airport,Airbus A200-100,6324.001807815008,156.14819278555575,-4762.519879959451
Hartsfield-Jackson Atlanta International Airport,Nashville International Airport,Airbus A220-300,6007.092470385688,125.14775979970183,-4755.61487238867
Dallas/Fort Worth International Airport,Hartsfield-Jackson Atlanta International Airport,Boeing 767-800,14271.731441901109,251.7060219030178,-5210.314653392468
Dallas/Fort Worth International Airport,Hartsfield-Jackson Atlanta International Airport,Airbus A200-100,11929.055849888577,294.5445888861377,-1325.4506499876188
Dallas/Fort Worth International Airport,Hartsfield-Jackson Atlanta International Airport,Airbus A220-300,10847.820961267405,225.9962700264043,-2711.955240316851
Dallas/Fort Worth International Airport,Denver International Airport,Boeing 737-600,11215.317455648756,314.15455057839654,-5874.690095816015
Dallas/Fort Worth International Airport,Denver International Airport,Boeing 767-800,13019.146819560945,229.61458235557225,-9115.698919516217
Dallas/Fort Worth International Airport,Denver International Airport,Airbus A200-100,10962.148422117221,270.67033141030174,-6360.752788142092
Dallas/Fort Worth International Airport,Denver International Airport,Airbus A220-300,10012.764546373965,208.59926138279093,-6466.5771028665185
Dallas/Fort Worth International Airport,O'Hare International Airport,Boeing 767-800,15287.079254957642,269.6133907399937,-188.72937351799555
Dallas/Fort Worth International Airport,John F. Kennedy International Airport,Boeing 767-800,23543.218428858887,415.22431091461885,-7349.470303188751
Dallas/Fort Worth International Airport,John F. Kennedy International Airport,Airbus A200-100,19085.99317315423,471.2590906951662,-706.8886360427496
Dallas/Fort Worth International Airport,John F. Kennedy International Airport,Airbus A220-300,17028.812285905926,354.7669226230401,-3192.9023036073613
Dallas/Fort Worth International Airport,Harry Reid International Airport,Boeing 737-600,15846.900051278839,443.8907577389031,-10076.320200673097
Dallas/Fort Worth International Airport,Harry Reid International Airport,Boeing 767-800,18808.62506409855,331.7217824356005,-14496.241892435743
Dallas/Fort Worth International Airport,Harry Reid International Airport,Airbus A200-100,15431.219347725199,381.01776167222715,-10477.988445986246
Dallas/Fort Worth International Airport,Harry Reid International Airport,Airbus A220-300,13872.416709399033,289.0086814458132,-10115.30385060346
Dallas/Fort Worth International Airport,Orlando International Airport,Boeing 737-600,15069.972217360842,422.1280733154298,-8315.923044313966
Dallas/Fort Worth International Airport,Orlando International Airport,Boeing 767-800,17837.465271701054,314.5937437689781,-12803.965371397404
Dallas/Fort Worth International Airport,Orlando International Airport,Airbus A200-100,14681.552139558707,362.5074602360175,-8881.432775782429
Dallas/Fort Worth International Airport,Orlando International Airport,Airbus A220-300,13224.9768478007,275.52035099584793,-8816.651231867134
Dallas/Fort Worth International Airport,Miami International Airport,Boeing 737-600,16611.841377257686,465.3176856374703,-8236.123035783221
Dallas/Fort Worth International Airport,Miami International Airport,Boeing 767-800,19764.80172157211,348.58556828169503,-13490.261492501599
Dallas/Fort Worth International Airport,Miami International Airport,Airbus A200-100,16169.320627178471,399.24248462169066,-8982.955903988039
Dallas/Fort Worth International Airport,Miami International Airport,Airbus A220-300,14509.867814381407,302.28891279961266,-9068.667383988379
Dallas/Fort Worth International Airport,Charlotte Douglas International Airport,Boeing 737-600,14513.348157500439,406.5363629551944,-8415.302713172523
Dallas/Fort Worth International Airport,Charlotte Douglas International Airport,Boeing 767-800,17141.68519687555,302.3224902447187,-12606.84784320477
Dallas/Fort Worth International Airport,Charlotte Douglas International Airport,Airbus A200-100,14144.458748465337,349.2458950238355,-8905.770323107805
Dallas/Fort Worth International Airport,Charlotte Douglas International Airport,Airbus A220-300,12761.1234645837,265.85673884549374,-8773.272381901294
Dallas/Fort Worth International Airport,Seattle-Tacoma International Airport,Boeing 737-600,22657.56340427371,634.6656415762945,-8060.253648018937
Dallas/Fort Worth International Airport,Seattle-Tacoma International Airport,Boeing 767-800,27321.95425534214,481.86868175206604,-16238.974575044622
Dallas/Fort Worth International Airport,Seattle-Tacoma International Airport,Airbus A200-100,22002.912056755336,543.2817791791441,-9507.431135635023
Dallas/Fort Worth International Airport,Seattle-Tacoma International Airport,Airbus A220-300,19547.969503561428,407.2493646575297,-10181.234116438243
Dallas/Fort Worth International Airport,Phoenix Sky Harbor International Airport,Boeing 737-600,13742.625615891075,384.9474962434475,-2964.0957210745437
Dallas/Fort Worth International Airport,Phoenix Sky Harbor International Airport,Boeing 767-800,16178.282019863844,285.3312525549179,-8189.006948326142
Dallas/Fort Worth International Airport,Phoenix Sky Harbor International Airport,Airbus A200-100,13400.779103052791,330.8834346432788,-4136.042933040984
Dallas/Fort Worth International Airport,Phoenix Sky Harbor International Airport,Airbus A220-300,12118.85467990923,252.47613916477562,-5049.5227832955115
Dallas/Fort Worth International Airport,Newark Liberty International Airport,Boeing 767-800,23275.5364813938,410.5032889134709,-7265.9082137684345
Dallas/Fort Worth International Airport,Newark Liberty International Airport,Airbus A200-100,18879.36149440925,466.1570739360309,-699.2356109040484
Dallas/Fort Worth International Airport,Newark Liberty International Airport,Airbus A220-300,16850.357654262534,351.04911779713615,-3159.442060174224
Dallas/Fort Worth International Airport,San Francisco International Airport,Boeing 767-800,24559.83599043837,433.1540739054386,-6800.518960315385
Dallas/Fort Worth International Airport,San Francisco International Airport,Airbus A220-300,17706.557326958915,368.8866109783107,-2582.2062768481755
Dallas/Fort Worth International Airport,George Bush Intercontinental Airport,Boeing 767-800,7152.980371594473,126.15485664187783,-1980.6312492774814
Dallas/Fort Worth International Airport,George Bush Intercontinental Airport,Airbus A220-300,6101.986914396315,127.12472738325657,-889.8730916827953
Dallas/Fort Worth International Airport,Logan International Airport,Boeing 737-600,21550.584684679805,603.6578343047565,-4044.5074898418643
Dallas/Fort Worth International Airport,Logan International Airport,Boeing 767-800,25938.230855849757,457.46438899205924,-12671.763575080038
Dallas/Fort Worth International Airport,Logan International Airport,Airbus A200-100,20934.774695743672,516.9080171788561,-5944.442197556846
Dallas/Fort Worth International Airport,Logan International Airport,Airbus A220-300,18625.48723723317,388.03098410902436,-7372.588698071464
Dallas/Fort Worth International Airport,Fort Lauderdale-Hollywood International Airport,Boeing 737-600,16583.976385926777,464.53715366741676,-8222.307619913276
Dallas/Fort Worth International Airport,Fort Lauderdale-Hollywood International Airport,Boeing 767-800,19729.970482408477,347.97126071267155,-13466.487789580387
Dallas/Fort Worth International Airport,Fort Lauderdale-Hollywood International Airport,Airbus A200-100,16142.43335484163,398.5786013541143,-8968.018530467572
Dallas/Fort Worth International Airport,Fort Lauderdale-Hollywood International Airport,Airbus A220-300,14486.646988272316,301.8051455890066,-9054.154367670197
Dallas/Fort Worth International Airport,Minneapolis-Saint Paul International Airport,Boeing 737-600,13605.661861415128,381.1109765102277,-5602.331354700346
Dallas/Fort Worth International Airport,Minneapolis-Saint Paul International Airport,Boeing 767-800,16007.07732676891,282.31176943155043,-10078.530168706351
Dallas/Fort Worth International Airport,Minneapolis-Saint Paul International Airport,Airbus A200-100,13268.621094347931,327.62027393451683,-6388.595341723078
Dallas/Fort Worth International Airport,Minneapolis-Saint Paul International Airport,Airbus A220-300,12004.71821784594,250.09829620512377,-6752.653997538341
Dallas/Fort Worth International Airport,LaGuardia Airport,Boeing 767-800,23510.605221036207,414.64912206413067,-7339.28946053511
Dallas/Fort Worth International Airport,LaGuardia Airport,Airbus A200-100,19060.818065361284,470.6374830953403,-705.9562246430105
Dallas/Fort Worth International Airport,LaGuardia Airport,Airbus A220-300,17007.07014735747,354.31396140328064,-3188.8256526295245
Dallas/Fort Worth International Airport,Detroit Metropolitan Airport,Boeing 737-600,15099.769149250847,422.9627212675308,-4525.701117562578
Dallas/Fort Worth International Airport,Detroit Metropolitan Airport,Boeing 767-800,17874.71143656356,315.25064262016866,-9993.445371059344
Dallas/Fort Worth International Airport,Detroit Metropolitan Airport,Airbus A200-100,14710.30356506661,363.2173719769533,-5629.8692656427775
Dallas/Fort Worth International Airport,Detroit Metropolitan Airport,Airbus A220-300,13249.807624375706,276.0376588411605,-6348.866153346693
Dallas/Fort Worth International Airport,Philadelphia International Airport,Boeing 767-800,22299.529316921526,393.2897586758647,-8141.098004590398
Dallas/Fort Worth International Airport,Philadelphia International Airport,Airbus A200-100,18125.95245516749,447.55438160907386,-2013.994717240832
Dallas/Fort Worth International Airport,Philadelphia International Airport,Airbus A220-300,16199.686211281014,337.4934627350211,-4049.921552820253
Dallas/Fort Worth International Airport,Salt Lake City International Airport,Boeing 737-600,15117.281232816282,423.4532558211844,-12153.10844206799
Dallas/Fort Worth International Airport,Salt Lake City International Airport,Boeing 767-800,17896.601541020354,315.6367114818405,-15687.14456064747
Dallas/Fort Worth International Airport,Salt Lake City International Airport,Airbus A200-100,14727.201189559572,363.6345972730758,-12181.759008648041
Dallas/Fort Worth International Airport,Salt Lake City International Airport,Airbus A220-300,13264.401027346903,276.3416880697271,-11330.009210858812
Dallas/Fort Worth International Airport,Ronald Reagan Washington National Airport,Boeing 737-600,17394.85155647764,487.2507438789255,-11547.842629930532
Dallas/Fort Worth International Airport,Ronald Reagan Washington National Airport,Boeing 767-800,20743.56444559705,365.8476974532108,-16353.392076158521
Dallas/Fort Worth International Airport,Ronald Reagan Washington National Airport,Airbus A200-100,16924.85676502229,417.89769790178497,-11910.084390200871
Dallas/Fort Worth International Airport,Ronald Reagan Washington National Airport,Airbus A220-300,15162.3762970647,315.88283952218126,-11371.782222798525
Dallas/Fort Worth International Airport,San Diego International Airport,Boeing 737-600,17152.72926403946,480.46860683583924,-8023.825734158514
Dallas/Fort Worth International Airport,San Diego International Airport,Boeing 767-800,20440.911580049324,360.50990441004103,-13591.223396258545
Dallas/Fort Worth International Airport,San Diego International Airport,Airbus A200-100,16691.229991617023,412.12913559548207,-8860.776415302864
Dallas/Fort Worth International Airport,San Diego International Airport,Airbus A220-300,14960.607720032882,311.679327500685,-9038.700497519865
Dallas/Fort Worth International Airport,Baltimore/Washington International Airport,Boeing 737-600,17675.411364924774,495.1095620427108,-11734.096620412245
Dallas/Fort Worth International Airport,Baltimore/Washington International Airport,Boeing 767-800,21094.264206155964,372.03287841544915,-16629.869665170576
Dallas/Fort Worth International Airport,Baltimore/Washington International Airport,Airbus A200-100,17195.572369664253,424.58203381887046,-12100.587963837806
Dallas/Fort Worth International Airport,Baltimore/Washington International Airport,Airbus A220-300,15396.176137437309,320.7536695299439,-11547.132103077982
Dallas/Fort Worth International Airport,Tampa International Airport,Boeing 737-600,14443.331168360868,404.57510275520644,-7160.979318767152
Dallas/Fort Worth International Airport,Tampa International Airport,Boeing 767-800,17054.163960451086,300.7789058280615,-11640.143655545979
Dallas/Fort Worth International Airport,Tampa International Airport,Airbus A200-100,14076.898495786805,347.5777406367112,-7820.499164326004
Dallas/Fort Worth International Airport,Tampa International Airport,Airbus A220-300,12702.775973634058,264.6411661173762,-7939.234983521286
Dallas/Fort Worth International Airport,Austin-Bergstrom International Airport,Boeing 737-600,6138.265862344768,171.94022023374703,-3731.102779072309
Dallas/Fort Worth International Airport,Austin-Bergstrom International Airport,Boeing 767-800,6672.832327930961,117.6866371769129,-5025.21940745418
Dallas/Fort Worth International Airport,Austin-Bergstrom International Airport,Airbus A200-100,6063.2389899817945,149.7096046909085,-3967.3045243090755
Dallas/Fort Worth International Airport,Austin-Bergstrom International Airport,Airbus A220-300,5781.88821862064,120.45600455459667,-4095.5041548562867
Dallas/Fort Worth International Airport,Washington Dulles International Airport,Boeing 737-600,17169.403657043746,480.9356766678921,-11398.175537029041
Dallas/Fort Worth International Airport,Washington Dulles International Airport,Boeing 767-800,20461.754571304686,360.87750566674936,-16131.224503303692
Dallas/Fort Worth International Airport,Washington Dulles International Airport,Airbus A200-100,16707.319318200112,412.5264029185213,-11757.002483177857
Dallas/Fort Worth International Airport,Washington Dulles International Airport,Airbus A220-300,14974.503047536457,311.9688134903428,-11230.877285652343
Dallas/Fort Worth International Airport,Nashville International Airport,Boeing 737-600,11097.037196342353,310.84137804880544,-7366.940659756688
Dallas/Fort Worth International Airport,Nashville International Airport,Boeing 767-800,12871.296495427941,227.00699286469035,-10147.212581051657
Dallas/Fort Worth International Airport,Nashville International Airport,Airbus A200-100,10848.018347347886,267.85230487278733,-7633.790688874438
Dallas/Fort Worth International Airport,Nashville International Airport,Airbus A220-300,9914.197663618628,206.54578465872143,-7435.648247713971
Denver International Airport,Hartsfield-Jackson Atlanta International Airport,Boeing 737-600,17473.65233920796,489.4580487173099,-11110.697705882932
Denver International Airport,Hartsfield-Jackson Atlanta International Airport,Boeing 767-800,20842.065424009957,367.5849281130504,-16063.461358540302
Denver International Airport,Hartsfield-Jackson Atlanta International Airport,Airbus A200-100,17000.892608007685,419.77512612364654,-11543.81596840028
Denver International Airport,Hartsfield-Jackson Atlanta International Airport,Airbus A220-300,15228.043616006637,317.25090866680495,-11103.781803338172
Denver International Airport,Dallas/Fort Worth International Airport,Boeing 737-600,11215.317455648756,314.15455057839654,-5874.690095816015
Denver International Airport,Dallas/Fort Worth International Airport,Boeing 767-800,13019.146819560945,229.61458235557225,-9115.698919516217
Denver International Airport,Dallas/Fort Worth International Airport,Airbus A200-100,10962.148422117221,270.67033141030174,-6360.752788142092
Denver International Airport,Dallas/Fort Worth International Airport,Airbus A220-300,10012.764546373965,208.59926138279093,-6466.5771028665185
Denver International Airport,O'Hare International Airport,Boeing 737-600,13973.371052519058,391.4109538520745,-5753.741021625494
Denver International Airport,O'Hare International Airport,Boeing 767-800,16466.71381564882,290.4182330802262,-10367.930920964072
Denver International Airport,O'Hare International Airport,Airbus A200-100,13623.428208571022,336.38094342150674,-6559.4283967193805
Denver International Airport,O'Hare International Airport,Airbus A220-300,12311.142543765882,256.48213632845585,-6925.017680868309
Denver International Airport,Los Angeles International Airport,Boeing 767-800,16103.741183694183,284.0165993596858,-4743.07720930675
