source airport,destination airport,airplane type,total Cost,break even cost per ticket
Dallas/Fort Worth International Airport,Ronald Reagan Washington National Airport,Boeing 737-600,17394.85155647764,487.2507438789255
Dallas/Fort Worth International Airport,Ronald Reagan Washington National Airport,Boeing 767-800,20743.56444559705,365.8476974532108
Dallas/Fort Worth International Airport,Ronald Reagan Washington National Airport,Airbus A200-100,16924.85676502229,417.89769790178497
Dallas/Fort Worth International Airport,Ronald Reagan Washington National Airport,Airbus A220-300,15162.3762970647,315.88283952218126
Dallas/Fort Worth International Airport,San Diego International Airport,Boeing 737-600,17152.72926403946,480.46860683583924
Dallas/Fort Worth International Airport,San Diego International Airport,Boeing 767-800,20440.911580049324,360.50990441004103
Dallas/Fort Worth International Airport,San Diego International Airport,Airbus A200-100,16691.229991617023,412.12913559548207
Dallas/Fort Worth International Airport,San Diego International Airport,Airbus A220-300,14960.607720032882,311.679327500685
Dallas/Fort Worth International Airport,Baltimore/Washington International Airport,Boeing 737-600,17675.411364924774,495.1095620427108
Dallas/Fort Worth International Airport,Baltimore/Washington International Airport,Boeing 767-800,21094.264206155964,372.03287841544915
Dallas/Fort Worth International Airport,Baltimore/Washington International Airport,Airbus A200-100,17195.572369664253,424.58203381887046
Dallas/Fort Worth International Airport,Baltimore/Washington International Airport,Airbus A220-300,15396.176137437309,320.7536695299439
Dallas/Fort Worth International Airport,Tampa International Airport,Boeing 737-600,14443.331168360868,404.57510275520644
Dallas/Fort Worth International Airport,Tampa International Airport,Boeing 767-800,17054.163960451086,300.7789058280615
Dallas/Fort Worth International Airport,Tampa International Airport,Airbus A200-100,14076.898495786805,347.5777406367112
Dallas/Fort Worth International Airport,Tampa International Airport,Airbus A220-300,12702.775973634058,264.6411661173762
Dallas/Fort Worth International Airport,Austin-Bergstrom International Airport,Boeing 737-600,6138.265862344768,171.94022023374703
Dallas/Fort Worth International Airport,Austin-Bergstrom International Airport,Boeing 767-800,6672.832327930961,117.6866371769129
Dallas/Fort Worth International Airport,Austin-Bergstrom International Airport,Airbus A200-100,6063.2389899817945,149.7096046909085
Dallas/Fort Worth International Airport,Austin-Bergstrom International Airport,Airbus A220-300,5781.88821862064,120.45600455459667
Dallas/Fort Worth International Airport,Washington Dulles International Airport,Boeing 737-600,17169.403657043746,480.9356766678921
Dallas/Fort Worth International Airport,Washington Dulles International Airport,Boeing 767-800,20461.754571304686,360.87750566674936
Dallas/Fort Worth International Airport,Washington Dulles International Airport,Airbus A200-100,16707.319318200112,412.5264029185213
Dallas/Fort Worth International Airport,Washington Dulles International Airport,Airbus A220-300,14974.503047536457,311.9688134903428
Dallas/Fort Worth International Airport,Nashville International Airport,Boeing 737-600,11097.037196342353,310.84137804880544
Dallas/Fort Worth International Airport,Nashville International Airport,Boeing 767-800,12871.296495427941,227.00699286469035
Dallas/Fort Worth International Airport,Nashville International Airport,Airbus A200-100,10848.018347347886,267.85230487278733
Dallas/Fort Worth International Airport,Nashville International Airport,Airbus A220-300,9914.197663618628,206.54578465872143
Denver International Airport,Hartsfield-Jackson Atlanta International Airport,Boeing 737-600,17473.65233920796,489.4580487173099
Denver International Airport,Hartsfield-Jackson Atlanta International Airport,Boeing 767-800,20842.065424009957,367.5849281130504
Denver International Airport,Hartsfield-Jackson Atlanta International Airport,Airbus A200-100,17000.892608007685,419.77512612364654
Denver International Airport,Hartsfield-Jackson Atlanta International Airport,Airbus A220-300,15228.043616006637,317.25090866680495
Denver International Airport,Dallas/Fort Worth International Airport,Boeing 737-600,11215.317455648756,314.15455057839654
Denver International Airport,Dallas/Fort Worth International Airport,Boeing 767-800,13019.146819560945,229.61458235557225
Denver International Airport,Dallas/Fort Worth International Airport,Airbus A200-100,10962.148422117221,270.67033141030174
Denver International Airport,Dallas/Fort Worth International Airport,Airbus A220-300,10012.764546373965,208.59926138279093
Denver International Airport,O'Hare International Airport,Boeing 737-600,13973.371052519058,391.4109538520745
Denver International Airport,O'Hare International Airport,Boeing 767-800,16466.71381564882,290.4182330802262
Denver International Airport,O'Hare International Airport,Airbus A200-100,13623.428208571022,336.38094342150674
Denver International Airport,O'Hare International Airport,Airbus A220-300,12311.142543765882,256.48213632845585
Denver International Airport,Los Angeles International Airport,Boeing 737-600,13682.992946955346,383.2771133600938
Denver International Airport,Los Angeles International Airport,Boeing 767-800,16103.741183694183,284.0165993596858
Denver International Airport,Los Angeles International Airport,Airbus A200-100,13343.238808465685,329.46268662878236
Denver International Airport,Los Angeles International Airport,Airbus A220-300,12069.160789129455,251.44084977353032
Denver International Airport,John F. Kennedy International Airport,Boeing 737-600,22252.835379060834,623.3287221025445
Denver International Airport,John F. Kennedy International Airport,Boeing 767-800,26816.044223826048,472.94610624031833
Denver International Airport,John F. Kennedy International Airport,Airbus A200-100,21612.385014883264,533.6391361699572
Denver International Airport,John F. Kennedy International Airport,Airbus A220-300,19210.696149217365,400.22283644202844
Denver International Airport,Harry Reid International Airport,Boeing 737-600,11051.982202722615,309.5793334095971
Denver International Airport,Harry Reid International Airport,Boeing 767-800,12814.97775340327,226.01371699123933
Denver International Airport,Harry Reid International Airport,Airbus A200-100,10804.544230697262,266.7788698937596
Denver International Airport,Harry Reid International Airport,Airbus A220-300,9876.651835602179,205.76357990837872
Denver International Airport,Orlando International Airport,Boeing 737-600,21389.104893817344,599.134590863231
Denver International Airport,Orlando International Airport,Boeing 767-800,25736.38111727168,453.9044288760438
Denver International Airport,Orlando International Airport,Airbus A200-100,20778.960862455333,513.0607620359342
Denver International Airport,Orlando International Airport,Airbus A220-300,18490.92074484779,385.2275155176623
Denver International Airport,Miami International Airport,Boeing 737-600,23226.977854032502,650.6156261633755
Denver International Airport,Miami International Airport,Boeing 767-800,28033.72231754063,494.42191036226865
Denver International Airport,Miami International Airport,Airbus A200-100,22552.347052136625,556.8480753613982
